_id,AnoReferencia,NomeMunicipio,NomeUnidadeEscolar,MatriculasTotal,MatriculaInicial,MatriculaAposCenso,Transferidos,Cancelados,Falecido,Abandono,Aprovados,Reprovados,Cursando,OutrasSituacoes
291,2026,Campo Grande,EE PADRE JOSÉ SCAMPINI,1327,1327,0,34,21,0,0,0,0,1266,6
292,2026,Campo Grande,EE PADRE MÁRIO BLANDINO,338,338,0,30,1,0,0,0,0,307,0
293,2026,Coxim,EE PADRE NUNES,943,943,0,22,12,0,0,0,0,886,23
294,2026,Nioaque,EE PADROEIRA DO BRASIL,117,117,0,12,0,0,0,0,0,105,0
295,2026,Antonio Joao,EE PANTALEÃO COELHO XAVIER,597,597,0,28,2,0,0,0,0,566,1
296,2026,Antonio Joao,EE PANTALEÃO COELHO XAVIER - EXTENSÃO SALA TUPÃ ' I,202,202,0,2,0,0,0,0,0,200,0
297,2026,Dourados,EE PASTOR DANIEL BERG,427,427,0,19,7,0,0,0,0,394,7
298,2026,Sidrolandia,EE PAULO EDUARDO DE SOUZA FIRMO,145,145,0,7,5,0,0,0,0,133,0
299,2026,Sidrolandia,EE PAULO EDUARDO DE SOUZA FIRMO - EXTENSÃO ASSENTAMENTO JIBÓIA,52,52,0,2,3,0,0,0,0,47,0
300,2026,Sidrolandia,EE PAULO EDUARDO DE SOUZA FIRMO - EXTENSÃO ASSENTAMENTO JOÃO BATISTA,14,14,0,0,1,0,0,0,0,13,0
301,2026,Sidrolandia,EE PAULO EDUARDO DE SOUZA FIRMO - EXTENSÃO ASSENTAMENTO SÃO PEDRO,100,100,0,1,1,0,0,0,0,98,0
302,2026,Ponta Pora,EE PEDRO AFONSO PEREIRA GOLDONI,657,657,0,18,3,0,0,0,0,633,3
303,2026,Ponta Pora,EE PEDRO AFONSO PEREIRA GOLDONI -EXTENSÃO SALA GRAÇA DE DEUS,165,165,0,1,7,0,0,0,0,154,3
304,2026,Coxim,EE PEDRO MENDES FONTOURA,740,740,0,11,20,0,0,0,0,702,7
305,2026,Coxim,EE PEDRO MENDES FONTOURA-EXTENSÃO ESTABELECIMENTO PENAL MASCULINO COXIM,34,34,0,1,2,0,0,0,0,30,1
306,2026,Bataguassu,EE PERI MARTINS,791,791,0,6,15,0,0,0,0,768,2
307,2026,Campo Grande,EE PÓLO FRANCISCO CÂNDIDO DE REZENDE,56,56,0,0,3,0,0,0,0,48,5
